name,description,url,downloads,owners,owners_urls
mpld3,D3 Viewer for Matplotlib,https://pypi.org/project/mpld3/,265229,"aflaxman,Eric.Galloway,Jake.Vanderplas,sciris,vladh","https://pypi.org/user/aflaxman/,https://pypi.org/user/Eric.Galloway/,https://pypi.org/user/Jake.Vanderplas/,https://pypi.org/user/sciris/,https://pypi.org/user/vladh/"
parsimonious,(Soon to be) the fastest pure-Python PEG parser I could muster,https://pypi.org/project/parsimonious/,264033,erikrose,https://pypi.org/user/erikrose/
JSON_minify,"A simple script to minify valid JSON, containing C/C++ style comments",https://pypi.org/project/JSON_minify/,267318,johanneswilm,https://pypi.org/user/johanneswilm/
jinjasql,Generate SQL Queries and Corresponding Bind Parameters using a Jinja2 Template,https://pypi.org/project/jinjasql/,265938,"devashish.sharma,sripathikrishnan","https://pypi.org/user/devashish.sharma/,https://pypi.org/user/sripathikrishnan/"
fastdiff,A fast native implementation of diff algorithm with a pure python fallback,https://pypi.org/project/fastdiff/,265237,syrusakbary,https://pypi.org/user/syrusakbary/
python-novaclient,Client library for OpenStack Compute API,https://pypi.org/project/python-novaclient/,264047,openstackci,https://pypi.org/user/openstackci/
selinux,shim selinux module,https://pypi.org/project/selinux/,263731,"ansible-zuul,gundalow,pycontribs,ssbarnea","https://pypi.org/user/ansible-zuul/,https://pypi.org/user/gundalow/,https://pypi.org/user/pycontribs/,https://pypi.org/user/ssbarnea/"
apache-airflow-providers-amazon,Provider package apache-airflow-providers-amazon for Apache Airflow,https://pypi.org/project/apache-airflow-providers-amazon/,263488,"ashb,kaxil,potiuk","https://pypi.org/user/ashb/,https://pypi.org/user/kaxil/,https://pypi.org/user/potiuk/"
grequests,Requests + Gevent,https://pypi.org/project/grequests/,263410,"kennethreitz,spyoungtech,tuxtimo","https://pypi.org/user/kennethreitz/,https://pypi.org/user/spyoungtech/,https://pypi.org/user/tuxtimo/"
stups-cli-support,STUPS CLI support library,https://pypi.org/project/stups-cli-support/,263071,"aermakov-zalando,hjacobs,stups-cd","https://pypi.org/user/aermakov-zalando/,https://pypi.org/user/hjacobs/,https://pypi.org/user/stups-cd/"
seleniumbase,A complete web automation framework for end-to-end testing.,https://pypi.org/project/seleniumbase/,262567,mdmintz,https://pypi.org/user/mdmintz/
stups-zign,OAuth2 token management CLI,https://pypi.org/project/stups-zign/,262991,"hjacobs,npiccolotto,stups-cd,tuxlife","https://pypi.org/user/hjacobs/,https://pypi.org/user/npiccolotto/,https://pypi.org/user/stups-cd/,https://pypi.org/user/tuxlife/"
influxdb-client,InfluxDB 2.0 Python client library,https://pypi.org/project/influxdb-client/,261355,"bednar,rhajek","https://pypi.org/user/bednar/,https://pypi.org/user/rhajek/"
azure-eventhub-checkpointstoreblob-aio,Microsoft Azure Event Hubs checkpointer implementation with Blob Storage Client Library for Python,https://pypi.org/project/azure-eventhub-checkpointstoreblob-aio/,262627,"azure-sdk,microsoft","https://pypi.org/user/azure-sdk/,https://pypi.org/user/microsoft/"
ssh-python,libssh C library bindings for Python.,https://pypi.org/project/ssh-python/,260976,pkittenis,https://pypi.org/user/pkittenis/
dohq-artifactory,A Python interface to Artifactory,https://pypi.org/project/dohq-artifactory/,262124,devopshq,https://pypi.org/user/devopshq/
rpy2,Python interface to the R language (embedded R),https://pypi.org/project/rpy2/,262043,lgautier,https://pypi.org/user/lgautier/
